,Parti,Nama Calon,Undi,Majoriti,Tahun,Negeri,Kawasan DUN,Kod Parlimen,Keputusan,Jumlah Undi,Bahagian Undi(%),Jumlah Layak Mengundi,Pengundi Melayu(%),Pengundi Cina(%),Pengundi India(%),Pengundi Lain-Lain(%),Pengundi Melayu Islam Bumiputera(%),Pengundi Melayu Bukan Islam Bumiputera(%),Pengundi Sabah Bumiputera(%)
53,PAS,DR ISMAIL SALLEH,5054,0,2004,Kedah,BAKAR BATA,009-012,Kalah,16145,31.30380923,21617,65,28,6,0,0,0,0
54,MCA,DATUK CHONG ITT CHEW,9094,7218,2004,Kedah,KOTA DARULAMAN,009-013,Menang,10970,82.89881495,16207,29,64,7,0,0,0,0
55,PKR,YAP SHUI FAH,1876,0,2004,Kedah,KOTA DARULAMAN,009-013,Kalah,10970,17.10118505,16207,29,64,7,0,0,0,0
56,UMNO,FADZIL HANAFI,9095,2827,2004,Kedah,ALOR MENGKUDU,009-014,Menang,15363,59.20067695,19489,75,21,3,0,0,0,0
57,PAS,MOHAMED SABU,6268,0,2004,Kedah,ALOR MENGKUDU,009-014,Kalah,15363,40.79932305,19489,75,21,3,0,0,0,0
58,PAS,AMIRUDDIN HAMZAH,10240,96,2004,Kedah,ANAK BUKIT,010-015,Menang,20384,50.23547881,24523,87,11,2,0,0,0,0
59,UMNO,ABDUL MUTHALIB HARUN,10144,0,2004,Kedah,ANAK BUKIT,010-015,Kalah,20384,49.76452119,24523,87,11,2,0,0,0,0
60,UMNO,DATUK SERI SYED RAZAK SYED ZAIN,14468,7941,2004,Kedah,KUBANG ROTAN,010-016,Menang,20995,68.91164563,27329,69,29,2,0,0,0,0
61,PKR,SAIFUDDIN NASUTION ISMAIL,6527,0,2004,Kedah,KUBANG ROTAN,010-016,Kalah,20995,31.08835437,27329,69,29,2,0,0,0,0
62,UMNO,MOHD JAMIL IDRUS,12584,3429,2004,Kedah,PENGKALAN KUNDOR,010-017,Menang,21739,57.88674732,26939,75,23,2,0,0,0,0
63,PAS,PHAHROLRZAI ZAWAWI,9155,0,2004,Kedah,PENGKALAN KUNDOR,010-017,Kalah,21739,42.11325268,26939,75,23,2,0,0,0,0
64,PAS,MOHD TAULAN RASUL,14790,4179,2004,Kedah,TOKAI,011-018,Menang,25401,58.22605409,29254,90,10,0,0,0,0,0
65,UMNO,SAMSUDDIN TAHIR,10611,0,2004,Kedah,TOKAI,011-018,Kalah,25401,41.77394591,29254,90,10,0,0,0,0,0
66,UMNO,SURAYA YAACOB,13948,4250,2004,Kedah,SUNGAI TIANG,011-019,Menang,23646,58.9867208,27926,85,3,2,10,0,0,0
67,PAS,ABDUL MUTALIB AWANG,9698,0,2004,Kedah,SUNGAI TIANG,011-019,Kalah,23646,41.0132792,27926,85,3,2,10,0,0,0
68,PAS,AZIZAN ABDUL RAZAK,10882,1080,2004,Kedah,SUNGAI LIMAU,012-020,Menang,20684,52.6107136,24820,92,8,0,0,0,0,0
69,UMNO,DATUK SHUHAIMI ABDULLAH,9802,0,2004,Kedah,SUNGAI LIMAU,012-020,Kalah,20684,47.3892864,24820,92,8,0,0,0,0,0
70,UMNO,DATUK ABDUL RAZAK HASHIM,8949,3966,2004,Kedah,GUAR CHEMPEDAK,012-021,Menang,13932,64.23341947,17985,86,12,1,0,0,0,0
71,PAS,MOHD AFIF ABDULLAH,4983,0,2004,Kedah,GUAR CHEMPEDAK,012-021,Kalah,13932,35.76658053,17985,86,12,1,0,0,0,0
72,MCA,DATUK BEH HENG SIONG,10748,7071,2004,Kedah,GURUN,012-022,Menang,15123,71.07055478,21081,53,29,18,0,0,0,0
73,PKR,KALAI VANAR A/L BALA SUNDRAM,3677,0,2004,Kedah,GURUN,012-022,Kalah,15123,24.31395887,21081,53,29,18,0,0,0,0
74,DAP,TAN CHOY,698,0,2004,Kedah,GURUN,012-022,Kalah,15123,4.615486345,21081,53,29,18,0,0,0,0
75,PAS,MOHD ISA SHAFIE,7310,51,2004,Kedah,BELANTEK,013-023,Menang,14569,50.17502917,17314,93,3,1,4,0,0,0
76,UMNO,SALLEH ISMAIL,7259,0,2004,Kedah,BELANTEK,013-023,Kalah,14569,49.82497083,17314,93,3,1,4,0,0,0
77,UMNO,ISMAIL HARUN,8631,640,2004,Kedah,JENERI,013-024,Menang,16622,51.92515943,19722,92,2,1,6,0,0,0
78,PAS,YAHAYA ABDULLAH,7991,0,2004,Kedah,JENERI,013-024,Kalah,16622,48.07484057,19722,92,2,1,6,0,0,0
79,MIC,DATUK V SARAVANAN,14196,7695,2004,Kedah,BUKIT SELAMBAU,014-025,Menang,22817,62.2167682,30322,48,22,29,1,0,0,0
80,PKR,MUSTAFA KHALID HANAFI,6501,0,2004,Kedah,BUKIT SELAMBAU,014-025,Kalah,22817,28.49191392,30322,48,22,29,1,0,0,0
81,DAP,G GHANAGARU A/L GANISAN,2120,0,2004,Kedah,BUKIT SELAMBAU,014-025,Kalah,22817,9.291317877,30322,48,22,29,1,0,0,0
82,UMNO,DATUK ARZMI HAMID,13111,5151,2004,Kedah,TANJONG DAWAI,014-026,Menang,21071,62.22296047,27600,78,15,6,1,0,0,0
83,PAS,DR HAMDAN MOHAMED KHALIB,7960,0,2004,Kedah,TANJONG DAWAI,014-026,Kalah,21071,37.77703953,27600,78,15,6,1,0,0,0
84,UMNO,DR SHUIB SAIDIN,11742,2661,2004,Kedah,PANTAI MERDEKA,015-027,Menang,20823,56.38956923,24746,92,6,1,0,0,0,0
85,PAS,SHAHABUDIN JAAFAR,9081,0,2004,Kedah,PANTAI MERDEKA,015-027,Kalah,20823,43.61043077,24746,92,6,1,0,0,0,0
86,MCA,SOON KOK HWA,14204,8899,2004,Kedah,BAKAR ARANG,015-028,Menang,19509,72.80742222,26326,42,45,13,1,0,0,0
87,PKR,JOHARI ABDUL,5305,0,2004,Kedah,BAKAR ARANG,015-028,Kalah,19509,27.19257778,26326,42,45,13,1,0,0,0
88,GERAKAN,DATUK FONG CHOK GIN,10287,6134,2004,Kedah,SIDAM,015-029,Menang,14440,71.23961219,19848,35,45,20,1,0,0,0
89,PKR,LIM SOO NEE,4153,0,2004,Kedah,SIDAM,015-029,Kalah,14440,28.76038781,19848,35,45,20,1,0,0,0
90,UMNO,MOHD SALLEH YAACOB,12354,1786,2004,Kedah,BAYU,016-030,Menang,22922,53.89582061,27583,91,6,1,2,0,0,0
91,PAS,TAIB AZAMUDDIN MD TAIB,10568,0,2004,Kedah,BAYU,016-030,Kalah,22922,46.10417939,27583,91,6,1,2,0,0,0
92,UMNO,ISMAIL ABU BAKAR,10571,1006,2004,Kedah,KUPANG,016-031,Menang,20136,52.49801351,24659,89,5,4,1,0,0,0
93,PAS,SUHAIMI AHMAD,9565,0,2004,Kedah,KUPANG,016-031,Kalah,20136,47.50198649,24659,89,5,4,1,0,0,0
94,UMNO,DATUK ABDUL AZIZ SHEIKH KADZIR,9323,462,2004,Kedah,KUALA KETIL,016-032,Menang,18184,51.27034756,22456,79,8,12,1,0,0,0
95,PAS,MD ZUKI YUSOFF,8861,0,2004,Kedah,KUALA KETIL,016-032,Kalah,18184,48.72965244,22456,79,8,12,1,0,0,0
96,UMNO,DATUK MOHD HADZIR ISMAIL,13825,7415,2004,Kedah,MERBAU PULAS,017-033,Menang,20235,68.32221399,25958,62,17,21,1,0,0,0
97,PAS,SITI AISHAH GHAZALI,6410,0,2004,Kedah,MERBAU PULAS,017-033,Kalah,20235,31.67778601,25958,62,17,21,1,0,0,0
98,MIC,S GANESAN,13218,4239,2004,Kedah,LUNAS,017-034,Menang,22197,59.54858765,27967,44,31,24,1,0,0,0
99,PKR,TIAN CHUA,8979,0,2004,Kedah,LUNAS,017-034,Kalah,22197,40.45141235,27967,44,31,24,1,0,0,0
100,MCA,BOEY CHIN GAN,13497,7365,2004,Kedah,KULIM,018-035,Menang,19629,68.76050741,27147,60,25,16,0,0,0,0
101,PKR,ALWI MOHAMED YUSOP,6132,0,2004,Kedah,KULIM,018-035,Kalah,19629,31.23949259,27147,60,25,16,0,0,0,0
102,UMNO,DATUK AZIMI DAIM,10752,3878,2004,Kedah,BANDAR BAHARU,018-036,Menang,17626,61.00079428,22877,75,18,7,0,0,0,0
