,NEGERI,BAHAGIAN PILIHAN RAYA,NAMA CALON,PARTI,BILANGAN UNDI,STATUS,KOD DAN NAMA PARLIMEN  ,NAMA DUN,JUMLAH UNDI,MAJORITI
78,JOHOR,N. 28 - MENGKIBOL,CHEW CHONG SIN,PKR,29559,MENANG,P.152 - KLUANG,MENGKIBOL,39892,
79,JOHOR,N. 29 - MAHKOTA,MD JAIS BIN SARDAY,BN,17839,,P.152 - KLUANG,MAHKOTA,40438,
80,JOHOR,N. 29 - MAHKOTA,MUHAMAD SAID BIN JONIT,PKR,19507,MENANG,P.152 - KLUANG,MAHKOTA,40438,
81,JOHOR,N. 29 - MAHKOTA,MUHAMMAD HASBULLAH BIN MD NAJIB,PAS,3092,HILANG DEPOSIT,P.152 - KLUANG,MAHKOTA,40438,
82,JOHOR,N. 30 - PALOH,TEOH YAP KUN,BN,8175,,P.153 - SEMBRONG,PALOH,30120,
83,JOHOR,N. 30 - PALOH,SHEIKH 'UMAR BAGHARIB BIN ALI,PKR,8958,MENANG,P.153 - SEMBRONG,PALOH,30120,
84,JOHOR,N. 30 - PALOH,SHAMUGAM A/L MUNISAMY,BEBAS,61,HILANG DEPOSIT,P.153 - SEMBRONG,PALOH,30120,
85,JOHOR,N. 31 - KAHANG,VIDYANATHAN A/L RAMANADHAN,BN,10768,MENANG,P.153 - SEMBRONG,KAHANG,18675,
86,JOHOR,N. 31 - KAHANG,NOORLIHAN BINTI ARIFFIN ,PKR,7907,,P.153 - SEMBRONG,KAHANG,18675,
87,JOHOR,N. 32 - ENDAU,ALWIYAH BINTI TALIB,BN,7136,MENANG,P.154 - MERSING,ENDAU,14881,
88,JOHOR,N. 32 - ENDAU,ROSLAN BIN NIKMAT,PAS,3689,,P.154 - MERSING,ENDAU,14881,
89,JOHOR,N. 32 - ENDAU,NORUL HASZARUL BIN ABU SAMAH ,PKR,4056,,P.154 - MERSING,ENDAU,14881,
90,JOHOR,N. 33 - TENGGAROH,RAVEN KUMAR A/L KRISHNASAMY,BN,12309,MENANG,P.154 - MERSING,TENGGAROH,22396,
91,JOHOR,N. 33 - TENGGAROH,RAHAMIZON BINTI ABDUL GHANI,PKR,6544,,P.154 - MERSING,TENGGAROH,22396,
92,JOHOR,N. 33 - TENGGAROH,A. RAHMAN BIN A. HAMID,PAS,3543,,P.154 - MERSING,TENGGAROH,22396,
93,JOHOR,N. 34 - PANTI,HAHASRIN BIN HASHIM,BN,11409,MENANG,P.155 - TENGGARA,PANTI,21465,
94,JOHOR,N. 34 - PANTI,JAWAHIR BT HUSEIN ,PKR,7985,,P.155 - TENGGARA,PANTI,21465,
95,JOHOR,N. 34 - PANTI,MOHD NAZARI BIN MOKHTAR ,PAS,2071,HILANG DEPOSIT,P.155 - TENGGARA,PANTI,21465,
96,JOHOR,N. 35 - PASIR RAJA,RASHIDAH BINTI ISMAIL,BN,8055,MENANG,P.155 - TENGGARA,PASIR RAJA,15614,
97,JOHOR,N. 35 - PASIR RAJA,BAHRIN BIN ALIAS @ MINGAN,PAS,1351,HILANG DEPOSIT,P.155 - TENGGARA,PASIR RAJA,15614,
98,JOHOR,N. 35 - PASIR RAJA,MOHD ABRARY BIN RAMLY ,PKR,6208,,P.155 - TENGGARA,PASIR RAJA,15614,
99,JOHOR,N. 36 - SEDILI,RASMAN BIN ITHNAIN,BN,13407,MENANG,P.156 - KOTA TINGGI,SEDILI,17646,
100,JOHOR,N. 36 - SEDILI,ABD RAZAK BIN ESA,PKR,4239,,P.156 - KOTA TINGGI,SEDILI,17646,
101,JOHOR,N. 37 - JOHOR LAMA,ROSLELI BIN JAHARI,BN,12532,MENANG,P.156 - KOTA TINGGI,JOHOR LAMA,20690,
102,JOHOR,N. 37 - JOHOR LAMA,NOR ASHIDAH BINTI IBRAHIM,PKR,6725,,P.156 - KOTA TINGGI,JOHOR LAMA,20690,
103,JOHOR,N. 37 - JOHOR LAMA,SITI ZAHARAH BINTI OTHMAN ,PAS,1433,HILANG DEPOSIT,P.156 - KOTA TINGGI,JOHOR LAMA,20690,
104,JOHOR,N. 38 - PENAWAR,SHARIFAH AZIZAH BINTI SYED ZAIN,BN,12330,MENANG,P.157 - PENGERANG,PENAWAR,17526,
105,JOHOR,N. 38 - PENAWAR,AHMAD KAMAH BIN NOR,PKR,5196,,P.157 - PENGERANG,PENAWAR,17526,
106,JOHOR,N. 39 - TANJUNG SURAT,SYED SIS BIN A RAHMAN,BN,9614,MENANG,P.157 - PENGERANG,TANJUNG SURAT,14706,
107,JOHOR,N. 39 - TANJUNG SURAT,ZAMIL NAJWAH BIN ARBAIN,PKR,5092,,P.157 - PENGERANG,TANJUNG SURAT,14706,
108,JOHOR,N. 40 - TIRAM,MAULIZAN BIN BUJANG,BN,18475,,P.158 - TEBRAU,TIRAM,50414,
